1,562,186,9,943.47
2,289,405,5,2379.55
3,773,15,6,1633.80
4,228,161,5,1295.50
5,796,289,8,2180.24
6,88,95,5,1029.95
7,358,361,7,698.32
8,705,213,8,276.16
9,608,436,1,285.66
10,139,172,2,201.24
11,361,134,1,436.54
12,315,490,6,1123.32
13,482,258,1,118.04
14,393,171,1,262.21
15,275,31,4,1186.00
16,230,324,9,4088.07
17,20,380,4,562.68
18,332,393,3,435.00
19,408,121,5,1261.70
20,118,183,4,1593.76
21,600,35,5,1857.60
22,54,489,3,1229.88
23,470,296,5,921.55
24,210,331,9,3337.92
25,791,355,7,2764.37
26,784,22,7,1756.23
27,782,415,7,3241.00
28,628,354,3,603.27
29,80,318,6,919.44
30,4,223,1,325.30
31,96,367,3,409.68
32,46,33,5,1272.80
33,765,483,2,280.16
34,377,315,5,502.55
35,489,340,9,1017.18
36,495,490,6,1123.32
37,158,380,4,562.68
38,83,201,10,1596.00
39,253,46,10,2904.60
40,166,4,1,318.63
41,291,81,3,615.09
42,428,198,9,163.53
43,654,311,6,2685.24
44,708,474,9,3178.26
45,228,183,1,398.44
46,455,414,10,2825.20
47,763,328,6,1510.98
48,295,262,6,1109.94
49,516,464,1,403.83
50,281,75,6,2409.06
51,508,320,7,1932.14
52,425,271,7,1080.59
53,277,385,10,2716.40
54,745,266,6,335.94
55,314,412,9,3164.40
56,25,83,9,3383.10
57,364,368,6,1577.64
58,672,131,9,4064.22
59,583,100,1,70.07
60,339,160,8,538.48
61,724,113,9,2470.23
62,629,266,4,223.96
63,765,130,8,3558.48
64,638,379,3,1025.91
65,405,432,6,1800.48
66,432,372,3,714.81
67,372,76,10,303.40
68,189,160,5,336.55
69,392,472,9,1005.21
70,775,413,10,1148.40
71,152,364,5,2116.35
72,241,1,8,3471.84
73,479,165,10,4451.90
74,141,282,9,3471.03
75,462,305,6,2598.00
76,117,325,7,880.88
77,555,96,10,3910.70
78,322,497,3,976.95
79,343,295,6,2583.42
80,113,408,5,1197.50
81,643,66,5,2224.40
82,348,439,8,3455.60
83,510,207,1,17.97
84,688,459,7,210.98
85,655,5,4,741.24
86,551,331,8,2967.04
87,775,437,8,980.96
88,572,215,2,427.66
89,292,66,8,3559.04
90,439,361,4,399.04
91,352,82,2,376.32
92,169,499,5,680.35
93,439,345,1,480.95
94,553,243,7,2343.81
95,737,346,4,1710.64
96,618,340,3,339.06
97,384,39,5,818.70
98,221,185,2,608.78
99,469,110,8,875.12
100,308,396,7,2033.85
101,389,218,5,1153.05
102,261,446,7,276.92
103,725,242,3,1002.90
104,387,431,3,1328.94
105,690,474,9,3178.26
106,588,408,6,1437.00
107,187,307,8,1115.60
108,321,453,5,173.05
109,535,153,10,3344.00
110,621,173,5,1270.10
111,617,80,8,1294.56
112,687,116,3,317.31
113,590,463,6,2606.70
114,480,181,8,3498.00
115,272,57,9,4492.71
116,739,483,6,840.48
117,659,161,1,259.10
118,96,144,5,2280.40
119,216,416,3,882.36
120,94,175,6,44.04
121,183,161,8,2072.80
122,332,464,8,3230.64
123,85,102,1,39.32
124,137,472,3,335.07
125,317,373,1,423.60
126,730,96,8,3128.56
127,473,320,9,2484.18
128,788,153,3,1003.20
129,573,288,2,960.92
130,557,361,2,199.52
131,86,466,4,296.92
132,127,257,1,136.00
133,518,320,9,2484.18
134,694,442,4,1216.68
135,402,158,6,2461.02
136,3,268,1,224.81
137,569,76,3,91.02
138,771,151,7,2656.78
139,209,349,6,2104.50
140,224,192,5,2186.55
141,492,277,9,571.23
142,527,471,6,1657.86
143,344,197,9,2916.99
144,411,63,4,129.04
145,538,4,5,1593.15
146,288,359,6,772.38
147,306,197,2,648.22
148,427,202,6,1303.98
149,509,174,1,361.84
150,629,494,3,760.92
151,689,499,7,952.49
152,208,434,5,448.45
153,346,392,7,2001.65
154,231,170,10,3204.50
155,569,284,8,3179.52
156,741,499,10,1360.70
157,599,30,10,89.30
158,78,225,2,996.96
159,314,473,4,1225.04
160,410,58,3,717.12
161,351,64,6,2819.58
162,116,407,7,3004.12
163,270,486,3,387.78
164,231,164,8,3085.28
165,364,303,7,2100.28
166,226,494,9,2282.76
167,594,317,9,689.85
168,374,221,3,623.85
169,197,463,6,2606.70
170,194,41,8,1865.44
171,270,325,4,503.36
172,763,73,2,469.98
173,416,36,2,635.00
174,502,19,3,1208.76
175,440,343,9,3900.15
176,130,11,5,550.40
177,109,322,7,2232.79
178,246,371,7,2148.79
179,433,415,2,926.00
180,719,159,4,525.28
181,760,8,10,4387.90
182,341,77,7,2026.57
183,247,414,2,565.04
184,607,342,5,500.60
185,338,213,1,34.52
186,517,471,4,1105.24
187,62,23,5,339.10
188,227,459,1,30.14
189,140,222,3,1054.50
190,262,145,4,197.52
191,347,54,7,368.27
192,628,270,8,790.00
193,741,461,10,2772.80
194,678,285,5,200.05
195,9,293,10,2528.70
196,91,265,1,226.67
197,468,254,8,2411.20
198,243,156,9,3350.07
199,460,498,7,1418.06
200,176,64,8,3759.44
201,407,124,5,1542.90
202,54,350,7,2306.85
203,402,52,1,401.70
204,614,254,8,2411.20
205,433,446,4,158.24
206,763,497,3,976.95
207,106,7,6,974.28
208,31,264,4,29.60
209,474,236,9,1922.31
210,736,40,2,64.16
211,663,362,4,1515.72
212,545,351,3,1154.01
213,296,239,7,3112.69
214,235,195,5,2275.30
215,104,401,3,1244.04
216,203,398,3,958.26
217,342,205,10,1543.10
218,340,256,4,1113.12
219,7,77,2,579.02
220,725,302,4,613.80
221,213,267,9,1245.42
222,165,63,8,258.08
223,328,292,4,797.20
224,265,184,8,505.60
225,420,303,3,900.12
226,52,11,2,220.16
227,124,487,8,2608.00
228,689,407,1,429.16
229,644,314,9,1509.30
230,103,309,10,3318.50
231,655,389,10,555.90
232,402,48,8,1484.96
233,529,203,5,2330.30
234,223,11,6,660.48
235,599,471,7,1934.17
236,433,67,10,3271.30
237,1,283,5,1175.60
238,565,288,5,2402.30
239,503,304,8,2784.16
240,446,404,9,2209.14
241,732,73,6,1409.94
242,324,451,6,2137.74
243,443,54,2,105.22
244,527,141,9,1508.31
245,61,200,8,3746.48
246,79,114,1,111.18
247,573,190,1,257.01
248,208,360,9,1347.03
249,685,39,6,982.44
250,104,342,6,600.72
251,557,416,10,2941.20
252,322,459,4,120.56
253,7,48,1,185.62
254,427,383,9,3024.09
255,373,495,5,1512.95
256,681,162,5,1373.60
257,381,497,6,1953.90
258,496,413,9,1033.56
259,162,331,7,2596.16
260,61,205,2,308.62
261,243,331,9,3337.92
262,111,17,2,822.60
263,313,187,1,89.55
264,185,272,9,2444.31
265,800,495,9,2723.31
266,326,136,5,1416.55
267,190,289,3,817.59
268,294,314,8,1341.60
269,381,479,3,649.41
270,388,256,6,1669.68
271,241,459,9,271.26
272,37,253,4,400.60
273,361,296,9,1658.79
274,290,193,3,464.16
275,464,145,2,98.76
276,404,314,1,167.70
277,630,190,7,1799.07
278,793,321,8,1388.00
279,125,301,2,922.66
280,258,382,6,1530.00
281,160,333,7,1266.86
282,654,110,5,546.95
283,352,247,9,2692.35
284,96,246,2,798.02
285,673,22,9,2258.01
286,729,133,10,2249.80
287,373,134,2,873.08
288,531,17,10,4113.00
289,734,249,5,479.35
290,254,420,9,2740.95
291,524,42,6,1512.96
292,75,408,7,1676.50
293,348,379,6,2051.82
294,121,423,3,194.16
295,398,338,10,4535.30
296,692,13,7,67.97
297,510,325,5,629.20
298,541,285,5,200.05
299,582,37,7,1271.34
300,432,414,9,2542.68
301,798,68,9,4188.87
302,134,229,8,333.68
303,179,481,6,1802.82
304,341,324,8,3633.84
305,790,489,6,2459.76
306,736,292,8,1594.40
307,668,303,4,1200.16
